,0
Annual return,0.5808990869833202
Cumulative returns,0.838299331814659
Annual volatility,0.21209891102987244
Sharpe ratio,2.2728923105416587
Calmar ratio,5.400437449116331
Stability,0.9193600547815752
Max drawdown,-0.10756519123804908
Omega ratio,1.4624469984531616
Sortino ratio,3.8273613466277587
Skew,
Kurtosis,
Tail ratio,1.1397422891146094
Daily value at risk,-0.02480894317157868
